river_name,river_length_km,source_lat,source_lon,mouth_lat,mouth_lon,countries_passed,continent,main_country,length_category
Rungwa,302.5521453329736,-803832.5740475164,3562223.705384754,-803843.460505356,3562223.705384754,United Republic of Tanzania,Africa,United Republic of Tanzania,Short
Ligonha,339.00335724077206,-1892914.8619908139,4355690.337563491,-1703608.5057877428,4160864.922109226,Mozambique,Africa,Mozambique,Short
Dongwe,259.3076743690238,-1630474.5562520486,2842354.041240245,-1559692.2617182364,2664438.5347634167,Zambia,Africa,Zambia,Short
Cuito,764.2218689278141,-2024343.5786036374,2309879.4339604266,-1419870.0392382694,2041473.3570379731,"Angola, Namibia",Africa,Angola,Medium
Bagoé,466.22241270992316,1042906.5507302082,-773050.8115039503,1296021.038813174,-730381.9637145364,"Ivory Coast, Mali",Africa,Mali,Short
Hadejia,452.30514977731394,1424273.8042474955,1199771.902530163,1284953.6915274728,834124.3368239369,Nigeria,Africa,Nigeria,Short
Sous,124.80589358049097,3529168.8430279945,-1069281.325602712,3550578.061351372,-951781.6462824872,Morocco,Africa,Morocco,Short
Oum Er Rbia,506.3722786782073,3828814.475279512,-667916.9447596414,3828808.0487369113,-667916.9447596414,Morocco,Africa,Morocco,Medium
San Miguel,748.7345132632752,-1956600.777335152,-6823884.785627671,-1499357.059038867,-7124447.410769508,Bolivia,South America,Bolivia,Medium
Coari,405.305680991392,-601896.4367771118,-7333769.36342815,-446562.06804918876,-7032864.300399591,Brazil,South America,Brazil,Short
Dan,85.15607967313012,3815304.0701885712,12409622.883324763,3879382.4709509783,12381956.076286787,China,Asia,China,Short
Dan,199.20496113808153,3989161.854591937,12231093.162860649,3879382.4709509783,12381956.076286787,China,Asia,China,Short
Tonle Sap,155.06019057112186,1416217.264681986,11591957.30715132,1475643.66888082,11542428.830583533,Cambodia,Asia,Cambodia,Short
Tonle Sap,120.43357612674367,1380059.9687797604,11645660.264623854,1290604.024992757,11683111.011282334,Cambodia,Asia,Cambodia,Short
Maningory,32.312627582312466,-1981018.1096109708,5395777.474443028,-1954296.4876165031,5409768.508100345,Madagascar,Africa,Madagascar,Short
Maningory,193.434599386372,-1981018.1096109708,5395777.474443028,-1954296.4876165031,5409768.508100345,Madagascar,Africa,Madagascar,Short
Bois,40.27453334129365,-2059480.3812319322,-5577796.800038452,-2097997.261418931,-5571083.930354386,Brazil,South America,Brazil,Short
Bois,362.02848066459654,-1826714.7089983528,-5564099.284569749,-2059480.3812319322,-5577796.800038452,Brazil,South America,Brazil,Short
Cauca,1024.1264679608648,260368.5779322562,-8514166.347748708,1047039.205159124,-8321115.630231164,Colombia,South America,Colombia,Medium
Cojedes,552.2925710838672,1139281.291458742,-7710043.374666644,886759.806413385,-7528461.608593132,Venezuela,South America,Venezuela,Medium
Vaupés,729.3836434184504,110538.82489771253,-7932867.1640015775,6572.8070560387705,-7486599.93582241,"Brazil, Colombia",South America,Brazil,Medium
Santiago,663.5706368228344,-220916.49106032515,-8751984.024552062,-544319.53652749,-8508711.801410278,"Ecuador, Peru",South America,Ecuador,Medium
Aripuanã,619.4903598093257,-1050092.386708846,-6736886.538074361,-570000.9594582013,-6723039.545750344,Brazil,South America,Brazil,Medium
Teles Pires,476.56651640459404,-1597132.1221772628,-6448567.42626318,-1222686.1131287175,-6530662.832962212,Brazil,South America,Brazil,Short
Unini,453.2319711303558,-223239.56449715633,-7221824.787603566,-187089.3059746523,-6838604.179234514,Brazil,South America,Brazil,Short
Ajajú,921.4253221040678,236464.1824585037,-8301148.240122322,-132686.10236981622,-7731687.623315999,Colombia,South America,Colombia,Medium
Jutaí,526.6687767055765,-645388.633750111,-7735764.264824542,-299595.6265469093,-7431587.017545127,Brazil,South America,Brazil,Medium
